go	geh
he dozed off	er schlief ein
he dumped me	er hat mich sitzenlassen
he dumped me	er hat mit mir schluss gemacht
he dumped me	er hat mir den laufpass gegeben
he got angry	er wurde wutend
he had a dog	er hatte einen hund
he has a car	er hat ein auto
he has a dog	er hat einen hund
he has money	er hat geld
he hates her	er hasst sie
he helps her	er hilft ihr
he is a poet	er ist dichter
he is a poet	er ist ein dichter
he is asleep	er schlaft
he is chubby	er ist pummelig
he is cranky	er ist unleidlich
he is cranky	er ist stinkig
he is driven	er ist ehrgeizig
he is driven	er will hoch hinaus
he is eating	er isst
he is eating	er speist
he is heroic	er ist heldenhaft
he is not in	er ist nicht hier
he just left	er ist gerade gegangen
he just left	er ist soeben gegangen
he kicked it	er hat es getreten
he let us go	er lie uns gehen
he lost face	er hat das gesicht verloren
he loved her	er hat sie geliebt
he loves her	er liebt sie
he needs you	er braucht dich
he runs fast	er ist ein schneller laufer
he runs fast	er rennt schnell
he seems ill	er scheint krank zu sein
he seems ill	er sieht krank aus
he succeeded	er hats geschafft
he was alone	er war alleine
he was alone	er war allein
he was brave	er war mutig
he was great	er war super
he was lucky	er hatte gluck
he was naive	er war naiv
he was naive	er war toricht
he was naive	er war einfaltig
he was naive	er war leichtglaubig
he was naive	er war zu treuherzig
he was wrong	er hatte unrecht
he was wrong	er lag falsch
he was young	er war jung
he will come	er wird kommen
he will wait	er wird warten
he will walk	er wird laufen
hes a bigot	er ist ein religioser eiferer
hes dieting	er macht eine diat
hes in pain	er hat schmerzen
hes my hero	er ist mein held
hes too old	er ist zu alt
hello girls	hallo madels
help tom out	unterstutze tom
help tom out	unterstutzen sie tom
help tom out	unterstutzt tom
here you are	bitte schon
here you are	bitte sehr
hey wait up	hey warte mal
hey wait up	hey wartet mal
hey wait up	warte mal
honesty pays	ehrlichkeit zahlt sich aus
how arrogant	wie arrogant
how barbaric	wie barbarisch
how dare you	wie kannst du es wagen
how dare you	wie konnen sie es wagen
how exciting	wie aufregend
how horrible	wie schrecklich
how pathetic	wie erbarmlich
how romantic	wie romantisch
how touching	wie beruhrend
i admire tom	ich bewundere tom
i admire you	ich bewundere euch
i admire you	ich bewundere dich
i almost won	ich hatte fast gewonnen
i always win	ich gewinne immer
i am chinese	ich bin chinese
i am chinese	ich bin chinesin
i am a nurse	ich bin krankenpfleger
i am a nurse	ich bin krankenschwester
i am ashamed	ich schame mich
i am at home	ich bin zu hause
i am baffled	ich bin verwirrt
i am curious	ich bin neugierig
i am praying	ich bete
i apologized	ich entschuldigte mich
i ate apples	ich habe apfel gegessen
i ate caviar	ich habe kaviar gegessen
i bit my lip	ich biss mir auf die lippen
i broke that	ich habe das zerbrochen
i broke that	ich hab das kaputt gemacht
i burp a lot	ich rulpse viel
i called tom	ich rief tom an
i called tom	ich habe tom angerufen
i called him	ich rief ihn an
i can manage	ich komme klar
i can manage	ich komme schon klar
i can try it	ich kann es mal versuchen
i cant draw	ich kann nicht zeichnen
i cant help	ich kann nicht helfen
i cant move	ich kann mich nicht bewegen
i cant read	ich kann nicht lesen
i cant sing	ich kann nicht singen
i cant stay	ich kann nicht bleiben
i cant swim	ich kann nicht schwimmen
i cant talk	ich kann nicht sprechen
i cant wait	ich kann es kaum erwarten
i cant walk	ich kann nicht gehen
i cried too	ich habe auch geweint
i cried too	ich weinte auch
i cut myself	ich habe mich geschnitten
i deserve it	ich habe es verdient
i deserve it	ich verdiene es
i detest tom	ich hasse tom
i didnt lie	ich habe nicht gelogen
i didnt pay	ich habe nicht bezahlt
i didnt win	ich habe nicht gewonnen
i do hope so	das hoffe ich
i do hope so	das hoffe ich doch sehr
i do my best	ich tue mein bestes
i do want it	ich mochte es
i dont care	es ist mir egal
i dont care	das ist mir egal
i dont care	egal
i dont know	ich wei es nicht
i dont know	wei ich nicht
i dont know	ich wei das nicht
i dont mind	das ist mir egal
i dont mind	ich habe nichts dagegen
i dont mind	es stort mich nicht
i dont mind	es macht mir nichts aus
i dont read	ich lese nicht
i dont sing	ich singe nicht
i drank milk	ich trank milch
i drink beer	ich trinke bier
i drink milk	ich trinke milch
i drink wine	ich trinke wein
i eat cheese	ich esse kase
i enjoy life	das leben macht mir freude
i enjoy life	ich habe freude am leben
i feel alive	ich fuhle mich lebendig
i feel dizzy	mir wird ubel
i feel dizzy	mir ist schwindelig
i feel dizzy	mir ist schwindlig
i feel great	mir gehts blendend
i feel great	mir gehts hervorragend
i feel happy	ich bin glucklich
i felt giddy	ich fuhlte mich schwindlig
i felt naked	ich fuhlte mich nackt
i found them	ich habe sie gefunden
i go jogging	ich gehe joggen
i go to work	ich gehe arbeiten
i had doubts	ich hatte zweifel
i hate beans	ich hasse bohnen
i hate liars	ich kann lugner nicht leiden
i hate sushi	ich hasse sushi
i hate tests	ich hasse tests
i hate those	ich hasse die
i have a car	ich habe ein auto
i have a dog	ich habe einen hund
i have a map	ich habe eine karte
i have a pen	ich habe einen kuli
i have hives	ich habe nesselsucht
i have money	ich habe geld
i have proof	ich habe beweise
i have to go	ich muss los
i have water	ich habe wasser
i hear music	ich hore musik
i helped tom	ich habe tom geholfen
i hope i win	ich hoffe ich gewinne
i hope i win	ich hoffe dass ich gewinne
i hugged tom	ich umarmte tom
i hugged tom	ich habe tom umarmt
i hugged her	ich druckte sie
i hugged her	ich umarmte sie
i improvised	ich improvisierte
i improvised	ich habe es improvisiert
i keep a dog	ich halte einen hund
i let him go	ich lie ihn los
i like books	ich liebe bucher
i like bread	ich mag brot
i like candy	ich mag suigkeiten
i like girls	ich mag madchen
i like pizza	ich mag pizza
i like sugar	ich mag zucker
i like sushi	ich mag gern sushi
i like these	ich mag diese
i like women	ich mag frauen
i live alone	ich lebe allein
i lost a bet	ich habe eine wette verloren
i lost a bet	ich verlor eine wette
i love books	ich liebe bucher
i love bread	ich liebe brot
i love games	ich liebe spiele
i love jokes	ich liebe witze
i love money	ich liebe geld
i love pizza	ich liebe pizza
i love pizza	ich esse sehr gerne pizza
i love trips	ich liebe reisen
i loved that	das hat mir gefallen
i made a bet	ich schloss eine wette ab
i made it up	ich habe es erfunden
i made these	ich habe diese gemacht
i missed you	du hast mir gefehlt
i must hurry	ich muss mich beeilen
i must hurry	ich muss mich sputen
i must study	ich muss lernen
i need a cab	ich brauche ein taxi
i need a car	ich brauche ein auto
i need a hug	ich brauche eine umarmung
i need a job	ich brauche einen job
i need a map	ich brauche eine karte
i need a map	ich benotige eine karte
i need a nap	ich brauche ein nickerchen
i need money	ich brauche geld
i need paint	ich brauche farbe
i need proof	ich brauche beweise
i need sleep	ich brauche schlaf
i need water	ich brauche wasser
i often read	ich lese oft
i phoned him	ich rief ihn an
i play piano	ich spiele klavier
i rarely cry	ich weine selten
i read a lot	ich lese viel
i read books	ich lese bucher
i see a book	ich sehe ein buch
i see a lion	ich sehe einen lowen
i see a star	ich sehe einen stern
i seldom cry	ich weine selten
i sell fruit	ich verkaufe obst
i slept fine	ich habe gut geschlafen
i smelled it	ich habe es gerochen
i suppose so	ich nehme es an
i swim a lot	ich schwimme viel
i sympathize	ich fuhle mit dir mit
i sympathize	ich fuhle mit euch mit
i sympathize	ich fuhle mit ihnen mit
i talk a lot	ich rede viel
i teased tom	ich habe tom geneckt
i thought so	das habe ich mir gedacht
i thought so	das dachte ich mir
i tried hard	ich gab mir groe muhe
i tried hard	ich habe mir groe muhe gegeben
i tried hard	ich habe mich sehr angestrengt
i understand	ich verstehe
i want a dog	ich will einen hund haben
i want a hat	ich mochte einen hut
i want a hat	ich brauche einen hut
i want a job	ich will arbeit
i want a lot	ich mochte viel
i want facts	ich will tatsachen
i want money	ich will geld
i want proof	ich will beweise
i want proof	ich will einen beweis
i want these	ich mochte diese
i want to go	ich will gehen
i was a fool	ich war ein idiot
i was hungry	ich war hungrig
i was scared	ich bekam es mit der angst zu tun
i was shaken	ich war erschuttert
i was sleepy	ich war schlafrig
i was stoned	ich war bekifft
i was stoned	ich war breit
i went there	ich ging hin
i went there	ich bin hingegangen
i will fight	ich werde kampfen
i will learn	ich werde es lernen
i will learn	ich werde lernen
i wont come	ich werde nicht kommen
i wont fail	ich werde nicht versagen
i wont lose	ich werde nicht verlieren
i wonder why	ich frage mich warum
i work a lot	ich arbeite viel
i wrote that	ich habe das geschrieben
i wrote that	das habe ich geschrieben
ill ask tom	ich frage mal tom
ill ask him	ich werde ihn fragen
ill be back	ich werde zuruckkommen
ill be back	ich komme wieder
ill be fine	ich werde schon zurechtkommen
ill be fine	ich komm schon klar
ill be fine	ich komme schon klar
ill be free	ich werde frei sein
ill be good	ich werde brav sein
ill be here	ich werde da sein
ill be late	ich verspate mich
ill be nice	ich werde lieb sein
ill be nice	ich werde freundlich sein
ill be nice	ich werde brav sein
ill come by	ich werde vorbeikommen
ill come by	ich komme vorbei
ill do that	ich werde das machen
ill do that	ich werde dies tun
ill do that	ich mache das
ill do this	ich werde das tun
ill explain	ich werde es erklaren
ill get tom	ich werde tom holen
ill get one	ich werde eins holen
ill get one	ich werde eines bekommen
ill get you	ich kriege dich
ill get you	ich hole dich
ill go home	ich werde nach hause gehen
ill go look	ich werde nachschauen
ill pay you	ich werde dich bezahlen
ill pay you	ich werde sie bezahlen
ill pay you	ich werde euch bezahlen
ill read it	ich werde es lesen
ill see tom	ich werde tom treffen
ill sue you	ich werde dich verklagen
ill take it	ich nehme es
im sure	ich bin mir zu sicher
im canadian	ich bin kanadier
im a pisces	ich bin fisch
im a coward	ich bin ein angsthase
im a coward	ich bin ein feigling
im a doctor	ich bin arzt
im a father	ich bin vater
im a friend	ich bin ein freund
im a genius	ich bin ein genie
im a hunter	ich bin jager
im a lawyer	ich bin anwalt
im a lawyer	ich bin rechtsanwalt
im a mother	ich bin mutter
im a purist	ich bin purist
im a purist	ich bin ein purist
im a singer	ich bin sanger
im a singer	ich bin sangerin
im addicted	ich bin suchtig
im addicted	ich bin der sucht verfallen
im all ears	ich bin ganz ohr
im anorexic	ich bin magersuchtig
im artistic	ich bin kunstlerisch veranlagt
im at toms	ich bin bei tom
im bleeding	ich blute
im bluffing	ich bluffe
im busy now	ich bin im moment beschaftigt
im busy now	ich bin gerade beschaftigt
im creative	ich bin kreativ
im diabetic	ich bin diabetiker
im divorced	ich bin geschieden
im doing ok	mir geht es einigermaen gut
im drowning	ich ertrinke
im drowning	ich bin dabei zu ertrinken
im dyslexic	ich bin legastheniker
im dyslexic	ich bin legasthenikerin
im eighteen	ich bin jahre alt
im eighteen	ich bin achtzehn
im escaping	ich bin dabei zu entkommen
im expected	ich werde erwartet
im fighting	ich kampfe
im finished	ich bin fertig
im for that	ich bin dafur
im free now	ich habe jetzt zeit
im freezing	ich friere
im freezing	mich friert
im grateful	ich bin dankbar
im grounded	ich habe hausarrest
im gullible	ich bin leichtglaubig
im homeless	ich bin obdachlos
im horrible	ich bin schrecklich
im hungover	ich habe einen kater
im hungover	ich bin verkatert
im in perth	ich bin in perth
im in a jam	ich stecke in einem stau
im innocent	ich bin unschuldig
im like tom	ich bin wie tom
im managing	ich komme klar
im managing	ich komme zurecht
im no angel	ich bin kein engel
im no rebel	ich bin kein aufstandischer
im no rebel	ich bin keine aufstandische
im no saint	ich bin keine heilige
im no saint	ich bin kein heiliger
im not busy	ich bin nicht beschaftigt
im not dead	ich bin nicht tot
im not deaf	ich bin nicht taub
im not done	ich bin noch nicht fertig
im not evil	ich bin nicht bose
im not free	ich bin nicht frei
im not here	ich bin nicht hier
im not home	ich bin nicht zuhause
im not hurt	ich bin nicht verletzt
im not hurt	ich bin unverletzt
im not mean	ich bin nicht gemein
im not rich	ich bin nicht reich
im not sick	ich bin nicht krank
im not sure	ich bin mir nicht sicher
im not sure	ich bin nicht sicher
im not well	mir geht es schlecht
im not well	mir gehts nicht gut
im off beer	ich trinke kein bier mehr
im offended	ich bin beleidigt
im out here	ich bin hier drauen
im positive	ich bin sicher
im pregnant	ich bin schwanger
im reliable	ich bin zuverlassig
im restless	ich bin ruhelos
im ruthless	ich kenne kein erbarmen
im shooting	ich schiee
im sleeping	ich schlafe gerade
im so drunk	ich bin so betrunken
im so happy	ich bin so glucklich
im so sorry	das tut mir so leid
im so sorry	ich bin untrostlich
im so sorry	das tut mir sehr leid
im so tired	ich bin so mude
im speaking	ich spreche gerade
im standing	ich stehe
im starving	ich bin am verhungern
im stronger	ich bin starker
im stubborn	ich bin stur
im studying	ich studiere
im the best	ich bin der beste
im the last	ich bin die letzte
im thorough	ich bin grundlich
im ticklish	ich bin kitzlig
im to blame	es ist meine schuld
im too busy	ich bin zu beschaftigt
im upstairs	ich bin oben
im very fat	ich bin sehr dick
im very hot	mir ist sehr hei
im very sad	ich bin sehr unglucklich
im very shy	ich bin sehr schuchtern
im watching	ich schaue zu
im watching	ich beobachte
im with tom	ich bin bei tom
im with him	ich bin bei ihm
im worn out	ich bin vollig erschopft
im your age	ich bin so alt wie du
im your age	ich habe dein alter
ive changed	ich habe mich verandert
ive checked	ich habe nachgeschaut
ive lost it	ich habe es verloren
ive lost it	ich habe sie verloren
ive lost it	ich habe ihn verloren
ive lost it	ich spinne
ice is solid	eis ist fest
iron is hard	eisen ist hart
is monday ok	ist montag in ordnung
is tom alive	ist tom am leben
is tom alone	ist tom allein
is tom awake	ist tom wach
is tom crazy	ist tom verruckt
is tom drunk	ist tom betrunken
is tom dying	stirbt tom
is tom happy	ist tom glucklich
is tom lying	lugt tom
is tom ready	ist tom fertig
is tom right	hat tom recht
is tom there	ist tom da
is it a deer	ist es ein hirsch
is it a wolf	ist es ein wolf
is it broken	ist es kaputt
is it cancer	ist es krebs
is it for me	ist das fur mich
is that a no	ist das ein nein
is that blue	ist das blau
is that fair	ist das gerecht
is that love	ist das liebe
is that mine	ist das meins
is that salt	ist das salz
is that snow	ist das schnee
is that true	ist das wahr
is this love	ist das liebe
is this love	ist das hier liebe
is this mine	ist das meines
is this real	ist das echt
is this true	ist das wahr
is this wine	ist dies ein wein
it has begun	es hat begonnen
